p_id,trial,stimulus,frame_no,time_in_s,boundary
P01,1,part2_01.avi,493,4.93,1
P01,1,part2_01.avi,1057,10.57,2
P01,1,part2_01.avi,1901,19.01,3
P01,1,part2_01.avi,2665,26.65,4
P01,1,part2_01.avi,4089,40.89,5
P01,1,part2_01.avi,5889,58.89,6
P01,1,part2_01.avi,6933,69.33,7
P01,1,part2_01.avi,9837,98.37,8
P01,1,part2_01.avi,10673,106.73,9
P01,1,part2_01.avi,11413,114.13,10
P01,1,part2_01.avi,11993,119.93,11
P01,1,part2_01.avi,12761,127.61,12
P01,1,part2_01.avi,15821,158.21,13
P01,1,part2_01.avi,17405,174.05,14
P01,1,part2_01.avi,18529,185.29,15
P01,1,part2_01.avi,19313,193.13,16
P01,1,part2_01.avi,20981,209.81,17
P01,1,part2_01.avi,21997,219.97,18
P01,1,part2_01.avi,22785,227.85,19
P01,1,part2_01.avi,23749,237.49,20
P01,1,part2_01.avi,24973,249.73,21
P01,1,part2_01.avi,25393,253.93,22
P01,1,part2_01.avi,25793,257.93,23
P01,1,part2_01.avi,26729,267.29,24
P01,1,part2_01.avi,27397,273.97,25
P01,1,part2_01.avi,28077,280.77,26
P01,1,part2_01.avi,29849,298.49,27
P01,1,part2_01.avi,32421,324.21,28
P01,1,part2_01.avi,32949,329.49,29
P01,2,part2_01.avi,1897,18.97,1
P01,2,part2_01.avi,3873,38.73,2
P01,2,part2_01.avi,6921,69.21,3
P01,2,part2_01.avi,9877,98.77,4
P01,2,part2_01.avi,12717,127.17,5
P01,2,part2_01.avi,18537,185.37,6
P01,2,part2_01.avi,22021,220.21,7
P01,2,part2_01.avi,24105,241.05,8
P01,2,part2_01.avi,24633,246.33,9
P01,2,part2_01.avi,27505,275.05,10
P01,2,part2_01.avi,28113,281.13,11
P01,2,part2_01.avi,30089,300.89,12
P01,2,part2_01.avi,32425,324.25,13
P01,2,part2_01.avi,32769,327.69,14
P01,3,part2_02.avi,369,3.69,1
P01,3,part2_02.avi,2621,26.21,2
P01,3,part2_02.avi,3737,37.37,3
P01,3,part2_02.avi,6717,67.17,4
P01,3,part2_02.avi,8617,86.17,5
P01,3,part2_02.avi,9345,93.45,6
P01,3,part2_02.avi,11025,110.25,7
P01,3,part2_02.avi,11545,115.45,8
P01,3,part2_02.avi,12521,125.21,9
P01,3,part2_02.avi,13085,130.85,10
P01,3,part2_02.avi,14941,149.41,11
P01,3,part2_02.avi,19689,196.89,12
P01,3,part2_02.avi,23265,232.65,13
P01,3,part2_02.avi,23689,236.89,14
P01,3,part2_02.avi,25169,251.69,15
P01,3,part2_02.avi,26693,266.93,16
P01,3,part2_02.avi,28845,288.45,17
P01,3,part2_02.avi,31397,313.97,18
P01,3,part2_02.avi,35145,351.45,19
P01,3,part2_02.avi,38901,389.01,20
P01,3,part2_02.avi,41729,417.29,21
P01,3,part2_02.avi,42573,425.73,22
P01,4,part2_02.avi,2613,26.13,1
P01,4,part2_02.avi,3765,37.65,2
P01,4,part2_02.avi,6705,67.05,3
P01,4,part2_02.avi,9461,94.61,4
P01,4,part2_02.avi,11641,116.41,5
P01,4,part2_02.avi,13077,130.77,6
P01,4,part2_02.avi,14961,149.61,7
P01,4,part2_02.avi,20049,200.49,7
P01,4,part2_02.avi,25213,252.13,8
P01,4,part2_02.avi,26749,267.49,9
P01,4,part2_02.avi,29153,291.53,10
P01,4,part2_02.avi,31409,314.09,11
P01,4,part2_02.avi,35273,352.73,12
P01,4,part2_02.avi,38965,389.65,13
P01,4,part2_02.avi,42181,421.81,14
P02,1,part2_01.avi,3293,32.93,1
P02,1,part2_01.avi,4077,40.77,2
P02,1,part2_01.avi,6105,61.05,3
P02,1,part2_01.avi,6969,69.69,4
P02,1,part2_01.avi,9877,98.77,5
P02,1,part2_01.avi,12769,127.69,6
P02,1,part2_01.avi,15865,158.65,7
P02,1,part2_01.avi,18521,185.21,8
P02,1,part2_01.avi,22133,221.33,9
P02,1,part2_01.avi,22997,229.97,10
P02,1,part2_01.avi,24193,241.93,11
P02,1,part2_01.avi,24669,246.69,12
P02,1,part2_01.avi,27617,276.17,13
P02,1,part2_01.avi,30005,300.05,14
P02,1,part2_01.avi,32949,329.49,15
P02,2,part2_01.avi,2961,29.61,1
P02,2,part2_01.avi,6993,69.93,2
P02,2,part2_01.avi,11389,113.89,3
P02,2,part2_01.avi,12737,127.37,4
P02,2,part2_01.avi,18565,185.65,5
P02,2,part2_01.avi,22365,223.65,6
P02,2,part2_01.avi,24773,247.73,7
P02,2,part2_01.avi,25913,259.13,8
P02,2,part2_01.avi,30089,300.89,9
P02,3,part2_02.avi,2805,28.05,1
P02,3,part2_02.avi,3845,38.45,2
P02,3,part2_02.avi,6853,68.53,3
P02,3,part2_02.avi,8633,86.33,4
P02,3,part2_02.avi,9469,94.69,5
P02,3,part2_02.avi,11381,113.81,6
P02,3,part2_02.avi,13097,130.97,7
P02,3,part2_02.avi,17565,175.65,8
P02,3,part2_02.avi,20217,202.17,9
P02,3,part2_02.avi,23493,234.93,10
P02,3,part2_02.avi,26709,267.09,11
P02,3,part2_02.avi,28489,284.89,12
P02,3,part2_02.avi,31509,315.09,13
P02,3,part2_02.avi,35281,352.81,14
P02,3,part2_02.avi,39069,390.69,15
P02,3,part2_02.avi,41633,416.33,16
P02,3,part2_02.avi,42573,425.73,17
P02,4,part2_02.avi,2749,27.49,1
P02,4,part2_02.avi,3985,39.85,2
P02,4,part2_02.avi,6981,69.81,3
P02,4,part2_02.avi,8753,87.53,4
P02,4,part2_02.avi,13081,130.81,5
P02,4,part2_02.avi,20173,201.73,6
P02,4,part2_02.avi,26793,267.93,7
P02,4,part2_02.avi,31473,314.73,8
P02,4,part2_02.avi,35381,353.81,9
P03,1,part2_01.avi,393,3.93,1
P03,1,part2_01.avi,825,8.25,2
P03,1,part2_01.avi,1141,11.41,3
P03,1,part2_01.avi,1845,18.45,4
P03,1,part2_01.avi,2509,25.09,5
P03,1,part2_01.avi,3401,34.01,6
P03,1,part2_01.avi,5145,51.45,7
P03,1,part2_01.avi,6669,66.69,8
P03,1,part2_01.avi,8569,85.69,9
P03,1,part2_01.avi,10305,103.05,10
P03,1,part2_01.avi,11361,113.61,11
P03,1,part2_01.avi,12653,126.53,12
P03,1,part2_01.avi,13189,131.89,13
P03,1,part2_01.avi,15661,156.61,14
P03,1,part2_01.avi,17429,174.29,15
P03,1,part2_01.avi,18745,187.45,16
P03,1,part2_01.avi,20973,209.73,17
P03,1,part2_01.avi,24033,240.33,18
P03,1,part2_01.avi,25689,256.89,19
P03,1,part2_01.avi,27401,274.01,20
P03,1,part2_01.avi,29805,298.05,21
P03,1,part2_01.avi,31829,318.29,22
P03,1,part2_01.avi,32477,324.77,23
P03,1,part2_01.avi,32949,329.49,24
P03,2,part2_01.avi,625,6.25,1
P03,2,part2_01.avi,2709,27.09,2
P03,2,part2_01.avi,6857,68.57,3
P03,2,part2_01.avi,9673,96.73,4
P03,2,part2_01.avi,12657,126.57,5
P03,2,part2_01.avi,20941,209.41,6
P03,2,part2_01.avi,24573,245.73,7
P03,2,part2_01.avi,29789,297.89,8
P03,2,part2_01.avi,32425,324.25,9
P03,3,part2_02.avi,3745,37.45,1
P03,3,part2_02.avi,8269,82.69,2
P03,3,part2_02.avi,8657,86.57,3
P03,3,part2_02.avi,11773,117.73,4
P03,3,part2_02.avi,15877,158.77,5
P03,3,part2_02.avi,19625,196.25,6
P03,3,part2_02.avi,23553,235.53,7
P03,3,part2_02.avi,29241,292.41,8
P03,3,part2_02.avi,31133,311.33,9
P03,3,part2_02.avi,42241,422.41,10
