"","time_in_s","boundary","beginning","ending","both","level","piece","theory","boundary_type"
"1",24.845,0,0,0,1,2,1,1,"both"
"2",36.411,1,0,1,0,2,1,1,"ending"
"3",38.201,1,1,0,0,1,1,1,"beginning"
"4",42.235,1,1,0,0,2,1,1,"beginning"
"5",46.152,0,0,0,1,3,1,1,"both"
"6",49.188,0,0,1,0,2,1,1,"ending"
"7",50.235,1,1,0,0,2,1,1,"beginning"
"8",57.191,0,0,0,1,2,1,1,"both"
"9",59.193,1,1,0,0,2,1,1,"beginning"
"10",63.085,0,0,0,1,3,1,1,"both"
"11",66.088,0,0,0,1,2,1,1,"both"
"12",68.151,0,0,1,0,2,1,1,"ending"
"13",69.146,1,1,0,0,1,1,1,"beginning"
"14",75.316,0,0,0,1,3,1,1,"both"
"15",78.236,1,0,0,1,3,1,1,"both"
"16",82.293,0,0,0,1,2,1,1,"both"
"17",86.741,1,1,0,0,1,1,1,"beginning"
"18",90.857,0,0,0,1,3,1,1,"both"
"19",93.752,1,0,0,1,3,1,1,"both"
"20",105.998,1,1,0,0,2,1,1,"beginning"
"21",109.898,0,0,0,1,3,1,1,"both"
"22",112.849,1,0,0,1,2,1,1,"both"
"23",120.878,0,0,0,1,1,1,1,"both"
"24",125.899,1,0,1,0,1,1,1,"ending"
"25",126.97,1,1,0,0,1,1,1,"beginning"
"26",131.101,0,0,0,1,3,1,1,"both"
"27",135.181,1,0,0,1,3,1,1,"both"
"28",139.222,0,0,0,1,3,1,1,"both"
"29",141.23,1,1,0,0,2,1,1,"beginning"
"30",143.196,0,0,0,1,3,1,1,"both"
"31",146.142,0,0,0,1,3,1,1,"both"
"32",149.097,1,0,0,1,3,1,1,"both"
"33",151.061,0,0,0,1,3,1,1,"both"
"34",156.102,1,0,0,1,2,1,1,"both"
"35",164.117,1,0,0,1,2,1,1,"both"
"36",168.116,0,0,0,1,3,1,1,"both"
"37",172.193,1,0,0,1,2,1,1,"both"
"38",177.207,0,0,0,1,1,1,1,"both"
"39",184.814,1,1,0,0,1,1,1,"beginning"
"40",188.762,0,0,0,1,3,1,1,"both"
"41",191.79,0,0,1,0,2,1,1,"ending"
"42",192.892,1,1,0,0,2,1,1,"beginning"
"43",199.811,0,0,0,1,2,1,1,"both"
"44",201.796,1,1,0,0,2,1,1,"beginning"
"45",205.848,0,0,0,1,3,1,1,"both"
"46",208.831,0,0,0,1,3,1,1,"both"
"47",210.838,1,0,0,1,2,1,1,"both"
"48",212.816,0,0,0,1,3,1,1,"both"
"49",218.726,1,0,0,1,2,1,1,"both"
"50",222.799,0,0,0,1,3,1,1,"both"
"51",227.235,1,1,0,0,2,1,1,"beginning"
"52",233.521,0,0,0,1,3,1,1,"both"
"53",239.808,1,0,0,1,2,1,1,"both"
"54",244.761,0,0,1,0,1,1,1,"ending"
"55",247.188,1,1,0,0,1,1,1,"beginning"
"56",251.154,0,0,0,1,3,1,1,"both"
"57",254.146,1,0,0,1,2,1,1,"both"
"58",262.437,1,0,0,1,3,1,1,"both"
"59",266.433,1,0,0,1,2,1,1,"both"
"60",270.423,0,0,0,1,3,1,1,"both"
"61",273.46,1,0,0,1,2,1,1,"both"
"62",283.805,1,0,0,1,2,1,1,"both"
"63",297.22,1,0,1,0,1,1,1,"ending"
"64",301.752,0,0,0,1,3,1,1,"both"
"65",311.6,1,0,1,0,2,1,1,"ending"
"66",317.503,0,0,1,0,2,1,1,"ending"
"67",321.736,1,0,1,0,1,1,1,"ending"
"68",24.845,1,0,0,1,2,1,2,"both"
"69",36.411,1,0,1,0,2,1,2,"ending"
"70",38.201,1,1,0,0,1,1,2,"beginning"
"71",42.235,1,1,0,0,2,1,2,"beginning"
"72",46.152,1,0,0,1,3,1,2,"both"
"73",49.188,1,0,1,0,2,1,2,"ending"
"74",50.235,1,1,0,0,2,1,2,"beginning"
"75",57.191,1,0,0,1,2,1,2,"both"
"76",59.193,1,1,0,0,2,1,2,"beginning"
"77",63.085,1,0,0,1,3,1,2,"both"
"78",66.088,1,0,0,1,2,1,2,"both"
"79",68.151,1,0,1,0,2,1,2,"ending"
"80",69.146,1,1,0,0,1,1,2,"beginning"
"81",75.316,1,0,0,1,3,1,2,"both"
"82",78.236,1,0,0,1,3,1,2,"both"
"83",82.293,1,0,0,1,2,1,2,"both"
"84",86.741,1,1,0,0,1,1,2,"beginning"
"85",90.857,1,0,0,1,3,1,2,"both"
"86",93.752,1,0,0,1,3,1,2,"both"
"87",105.998,1,1,0,0,2,1,2,"beginning"
"88",109.898,1,0,0,1,3,1,2,"both"
"89",112.849,1,0,0,1,2,1,2,"both"
"90",120.878,1,0,0,1,1,1,2,"both"
"91",125.899,1,0,1,0,1,1,2,"ending"
"92",126.97,1,1,0,0,1,1,2,"beginning"
"93",131.101,1,0,0,1,3,1,2,"both"
"94",135.181,1,0,0,1,3,1,2,"both"
"95",139.222,1,0,0,1,3,1,2,"both"
"96",141.23,1,1,0,0,2,1,2,"beginning"
"97",143.196,1,0,0,1,3,1,2,"both"
"98",146.142,1,0,0,1,3,1,2,"both"
"99",149.097,1,0,0,1,3,1,2,"both"
"100",151.061,1,0,0,1,3,1,2,"both"
"101",156.102,1,0,0,1,2,1,2,"both"
"102",164.117,1,0,0,1,2,1,2,"both"
"103",168.116,1,0,0,1,3,1,2,"both"
"104",172.193,1,0,0,1,2,1,2,"both"
"105",177.207,1,0,0,1,1,1,2,"both"
"106",184.814,1,1,0,0,1,1,2,"beginning"
"107",188.762,1,0,0,1,3,1,2,"both"
"108",191.79,1,0,1,0,2,1,2,"ending"
"109",192.892,1,1,0,0,2,1,2,"beginning"
"110",199.811,1,0,0,1,2,1,2,"both"
