time,boundary_all,boundary_1,piece
1.091,1,1,1
5.993,1,0,1
14.32,1,0,1
20.181,1,0,1
21.327,1,0,1
26.122,1,1,1
31.117,1,0,1
36.056,1,0,1
38.583,1,1,1
45.12,1,0,1
46.441,1,1,1
54.121,1,0,1
59.021,1,1,1
63.923,1,0,1
66.498,1,1,1
74.036,1,0,1
84.978,1,0,1
92.531,1,1,1
97.949,1,0,1
109.633,1,0,1
113.683,1,0,1
116.824,1,0,1
124.663,1,0,1
129.634,1,1,1
137.092,1,0,1
138.4,1,1,1
143.492,1,0,1
148.633,1,0,1
157.363,1,1,1
168.434,1,0,1
173.318,1,1,1
178.18,1,0,1
185.582,1,0,1
195.149,1,0,1
203.174,1,0,1
205.72,1,1,1
212.744,1,0,1
221.339,1,1,1
229.682,1,0,1
234.756,1,1,1
242.151,1,0,1
250.926,1,1,1
255.952,1,0,1
261.02,1,0,1
266.436,1,1,1
271.613,1,0,1
283.038,1,0,1
287.03,1,0,1
290.584,1,1,1
296.028,1,0,1
305.552,1,0,1
309.156,1,0,1
311.988,1,0,1
314.285,1,1,1
323.972,1,0,1
333.402,1,1,1
342.793,1,0,1
347.558,1,1,1
352.232,1,0,1
354.693,1,1,1
359.285,1,0,1
361.674,1,1,1
366.513,1,0,1
371.11,1,1,1
387.422,1,1,1
392.146,1,0,1
400.274,1,0,1
405.951,1,0,1
407.051,1,0,1
412.894,1,0,1
420.926,1,1,1
1.091,NA,1,2
5.993,NA,0,2
14.32,NA,0,2
20.181,NA,0,2
21.327,NA,0,2
26.122,NA,1,2
31.117,NA,0,2
36.056,NA,0,2
38.583,NA,1,2
45.12,NA,0,2
46.441,NA,1,2
54.121,NA,0,2
59.021,NA,1,2
63.923,NA,0,2
66.498,NA,1,2
74.036,NA,0,2
84.978,NA,0,2
92.531,NA,1,2
97.949,NA,0,2
109.633,NA,0,2
113.683,NA,0,2
116.824,NA,0,2
124.663,NA,0,2
129.634,NA,1,2
137.092,NA,0,2
138.4,NA,1,2
143.492,NA,0,2
148.633,NA,0,2
157.363,NA,1,2
168.434,NA,0,2
173.318,NA,1,2
178.18,NA,0,2
185.582,NA,0,2
195.149,NA,0,2
203.174,NA,0,2
205.72,NA,1,2
212.744,NA,0,2
221.339,NA,1,2
229.682,NA,0,2
234.756,NA,1,2
242.151,NA,0,2
250.926,NA,1,2
255.952,NA,0,2
261.02,NA,0,2
266.436,NA,1,2
271.613,NA,0,2
283.038,NA,0,2
287.03,NA,0,2
290.584,NA,1,2
296.028,NA,0,2
305.552,NA,0,2
309.156,NA,0,2
311.988,NA,0,2
314.285,NA,1,2
323.972,NA,0,2
333.402,NA,1,2
342.793,NA,0,2
347.558,NA,1,2
352.232,NA,0,2
354.693,NA,1,2
359.285,NA,0,2
361.674,NA,1,2
366.513,NA,0,2
371.11,NA,1,2
387.422,NA,1,2
392.146,NA,0,2
400.274,NA,0,2
405.951,NA,0,2
407.051,NA,0,2
412.894,NA,0,2
420.926,NA,1,2
