ID,Trial,Stimulus,FrameNo,Time_in_s,Event,Boundary
1,1,part2_01.avi,1,0.01,VIDEO_PLAY,NA
1,1,part2_01.avi,493,4.93,BOUNDARY_REGISTERED,1
1,1,part2_01.avi,1057,10.57,BOUNDARY_REGISTERED,2
1,1,part2_01.avi,1901,19.01,BOUNDARY_REGISTERED,3
1,1,part2_01.avi,2665,26.65,BOUNDARY_REGISTERED,4
1,1,part2_01.avi,4089,40.89,BOUNDARY_REGISTERED,5
1,1,part2_01.avi,5889,58.89,BOUNDARY_REGISTERED,6
1,1,part2_01.avi,6933,69.33,BOUNDARY_REGISTERED,7
1,1,part2_01.avi,9837,98.37,BOUNDARY_REGISTERED,8
1,1,part2_01.avi,10673,106.73,BOUNDARY_REGISTERED,9
1,1,part2_01.avi,11413,114.13,BOUNDARY_REGISTERED,10
1,1,part2_01.avi,11993,119.93,BOUNDARY_REGISTERED,11
1,1,part2_01.avi,12761,127.61,BOUNDARY_REGISTERED,12
1,1,part2_01.avi,15821,158.21,BOUNDARY_REGISTERED,13
1,1,part2_01.avi,17405,174.05,BOUNDARY_REGISTERED,14
1,1,part2_01.avi,18529,185.29,BOUNDARY_REGISTERED,15
1,1,part2_01.avi,19313,193.13,BOUNDARY_REGISTERED,16
1,1,part2_01.avi,20981,209.81,BOUNDARY_REGISTERED,17
1,1,part2_01.avi,21997,219.97,BOUNDARY_REGISTERED,18
1,1,part2_01.avi,22785,227.85,BOUNDARY_REGISTERED,19
1,1,part2_01.avi,23749,237.49,BOUNDARY_REGISTERED,20
1,1,part2_01.avi,24973,249.73,BOUNDARY_REGISTERED,21
1,1,part2_01.avi,25393,253.93,BOUNDARY_REGISTERED,22
1,1,part2_01.avi,25793,257.93,BOUNDARY_REGISTERED,23
1,1,part2_01.avi,26729,267.29,BOUNDARY_REGISTERED,24
1,1,part2_01.avi,27397,273.97,BOUNDARY_REGISTERED,25
1,1,part2_01.avi,28077,280.77,BOUNDARY_REGISTERED,26
1,1,part2_01.avi,29849,298.49,BOUNDARY_REGISTERED,27
1,1,part2_01.avi,32421,324.21,BOUNDARY_REGISTERED,28
1,1,part2_01.avi,32949,329.49,BOUNDARY_REGISTERED,29
1,1,part2_01.avi,32949,329.49,VIDEO_END,29
1,2,part2_01.avi,1,0.01,VIDEO_PLAY,NA
1,2,part2_01.avi,1897,18.97,BOUNDARY_REGISTERED,1
1,2,part2_01.avi,1897,18.97,BOUNDARY_QUESTIONNAIRE,1
1,2,part2_01.avi,3873,38.73,BOUNDARY_REGISTERED,2
1,2,part2_01.avi,3873,38.73,BOUNDARY_QUESTIONNAIRE,2
1,2,part2_01.avi,6921,69.21,BOUNDARY_REGISTERED,3
1,2,part2_01.avi,6921,69.21,BOUNDARY_QUESTIONNAIRE,3
1,2,part2_01.avi,9877,98.77,BOUNDARY_REGISTERED,4
1,2,part2_01.avi,9877,98.77,BOUNDARY_QUESTIONNAIRE,4
1,2,part2_01.avi,12717,127.17,BOUNDARY_REGISTERED,5
1,2,part2_01.avi,12717,127.17,BOUNDARY_QUESTIONNAIRE,5
1,2,part2_01.avi,18537,185.37,BOUNDARY_REGISTERED,6
1,2,part2_01.avi,18537,185.37,BOUNDARY_QUESTIONNAIRE,6
1,2,part2_01.avi,22021,220.21,BOUNDARY_REGISTERED,7
1,2,part2_01.avi,22021,220.21,BOUNDARY_QUESTIONNAIRE,7
1,2,part2_01.avi,24105,241.05,BOUNDARY_REGISTERED,8
